City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,longyearbyen,78.2186,15.6401,0.91,86,75,2.57,SJ,1701215365
83,haiku-pauwela,20.9219,-156.3051,26.69,78,40,2.06,US,1701215365
84,hawaiian paradise park,19.5933,-154.9731,27.15,77,100,5.66,US,1701215365
85,georgetown,5.4112,100.3354,26.68,87,20,1.03,MY,1701215365
86,tura,25.5198,90.2201,17.5,72,77,1.38,IN,1701215365
87,vila franca do campo,37.7167,-25.4333,18.23,99,94,2.52,PT,1701215366
88,lihue,21.9789,-159.3672,26.31,77,75,4.12,US,1701215238
89,ribeira grande,38.5167,-28.7,18.76,96,100,3.58,PT,1701215366
90,papatowai,-46.5619,169.4708,11.36,54,87,5.97,NZ,1701215366
91,guanare,9.0418,-69.7421,25.48,76,41,1.69,VE,1701215366
92,puerto baquerizo moreno,-0.9,-89.6,24.57,78,45,7.52,EC,1701215367
93,lucea,18.451,-78.1736,28.25,80,76,5.76,JM,1701215367
94,luderitz,-26.6481,15.1594,18.25,73,37,10.34,NA,1701215367
95,macka,40.8186,39.6136,7.64,44,84,5.86,TR,1701215367
96,weno,7.4515,151.8468,28.97,79,100,3.6,FM,1701215367
97,iskateley,67.6803,53.1512,-17.21,95,100,4.92,RU,1701215368
98,mount darwin,-16.7725,31.5838,23.18,37,57,0.96,ZW,1701215368
99,uturoa,-16.7333,-151.4333,26.77,80,79,9.24,PF,1701215368
100,tres lagoas,-20.7511,-51.6783,23.18,85,100,4.35,BR,1701215368
101,toliara,-23.35,43.6667,23.67,89,2,2.01,MG,1701215368
102,metlili chaamba,32.2667,3.6333,16.52,22,0,2.06,DZ,1701215369
103,tome acu,-2.4189,-48.1522,24.93,84,84,1.32,BR,1701215369
104,port alfred,-33.5906,26.891,16.21,91,100,1.34,ZA,1701215369
105,kuqa,41.7278,82.9364,1.38,47,8,0.22,CN,1701215370
106,iqaluit,63.7506,-68.5145,-1.15,92,100,8.75,CA,1701215370
107,udachny,66.4167,112.4,-17.53,84,100,10.23,RU,1701215370
108,port macquarie,-31.4333,152.9167,25.5,71,95,6.95,AU,1701215371
109,natal,-5.795,-35.2094,25.36,88,20,3.09,BR,1701215371
110,saipan,15.1355,145.701,29.39,74,20,6.69,MP,1701215371
111,port elizabeth,-33.918,25.5701,17.16,83,0,8.75,ZA,1701215371
112,isafjordur,66.0755,-23.124,0.4,88,100,1.46,IS,1701215371
113,kodiak,57.79,-152.4072,4.73,81,100,5.14,US,1701215372
114,christchurch,-43.5333,172.6333,14.12,59,100,3.6,NZ,1701214693
115,newman,37.3138,-121.0208,19.6,30,4,2.14,US,1701215372
116,aban,56.67,96.06,-20.0,95,33,1.73,RU,1701215372
117,ilulissat,69.2167,-51.1,-6.99,53,80,8.75,GL,1701215372
118,tazovsky,67.4667,78.7,-16.91,96,100,3.77,RU,1701215373
119,koryazhma,61.3143,47.1691,-4.49,94,100,2.01,RU,1701215373
120,anahuac,27.2333,-100.15,13.52,41,19,4.22,MX,1701215373
121,praya,14.9215,-23.5087,23.3,73,20,3.6,CV,1701215373
122,port lincoln,-34.7333,135.8667,16.73,76,76,6.53,AU,1701215374
123,nenjiang,49.1833,125.2167,-16.63,92,99,2.19,CN,1701215374
124,hanceville,34.0607,-86.7675,6.42,52,0,2.43,US,1701215374
125,labrador city,52.9463,-66.9114,-7.05,86,75,2.06,CA,1701215374
126,opelousas,30.5335,-92.0815,12.14,49,0,0.0,US,1701215374
127,imbituba,-28.24,-48.6703,22.7,95,100,8.37,BR,1701215375
128,igrim,63.1906,64.4162,-3.12,97,100,1.96,RU,1701215375
129,paros,37.0833,25.15,19.79,63,85,11.32,GR,1701215375
130,flying fish cove,-10.4217,105.6791,25.69,68,87,8.03,CX,1701215376
131,akureyri,65.6835,-18.0878,-0.04,100,75,0.0,IS,1701215376
132,salym,60.0625,71.4789,-3.68,85,100,3.04,RU,1701215376
133,nouadhibou,20.931,-17.0347,19.99,52,0,4.63,MR,1701215376
134,khandyga,62.6667,135.6,-28.04,97,100,1.11,RU,1701215376
135,baiti,13.745,-14.7482,26.94,21,0,1.94,SN,1701215377
136,nema,57.5067,50.5011,-10.55,98,100,1.62,RU,1701215377
137,ponta delgada,37.7333,-25.6667,18.4,94,40,3.09,PT,1701215377
138,badger,64.8,-147.5333,-6.47,89,40,3.6,US,1701215377
139,bilibino,68.0546,166.4372,-32.36,100,100,0.58,RU,1701215378
140,touros,-5.1989,-35.4608,25.96,78,99,4.63,BR,1701215378
141,college,64.8569,-147.8028,-6.42,87,75,3.6,US,1701215378
142,egilsstadir,65.2653,-14.3948,1.95,87,75,1.03,IS,1701215378
143,richmond,37.5538,-77.4603,2.59,36,0,4.12,US,1701215078
144,vieux-habitants,16.0589,-61.7659,24.76,81,13,4.85,GP,1701215378
145,tshabong,-26.05,22.45,25.53,25,100,6.05,BW,1701215379
146,carnarvon,-24.8667,113.6333,22.24,58,44,6.05,AU,1701215379
147,hermanus,-34.4187,19.2345,17.23,68,67,3.31,ZA,1701215379
148,invercargill,-46.4,168.35,10.57,76,87,4.47,NZ,1701215379
149,chu,43.5983,73.7614,9.74,40,91,2.58,KZ,1701215379
150,ulaangom,49.9811,92.0667,-14.58,90,99,2.41,MN,1701215380
151,ust-nera,64.5667,143.2,-21.79,99,99,1.27,RU,1701215380
152,tuzha,57.6062,47.936,-12.04,98,73,2.2,RU,1701215380
153,lafiagi,8.8667,5.4167,26.72,50,34,1.05,NG,1701215380
154,candolim,15.5181,73.7626,25.0,88,20,1.54,IN,1701215381
155,el gouna,27.3942,33.6782,19.05,52,100,5.95,EG,1701215381
156,yermolayevo,52.7167,55.8,-3.51,95,100,4.88,RU,1701215381
157,kristiansund,63.1115,7.732,-3.64,68,75,3.6,NO,1701215381
158,liman,48.9884,37.8023,2.32,91,93,6.25,UA,1701215382
159,bria,6.5423,21.9863,22.34,81,89,0.39,CF,1701215382
160,kapuskasing,49.4169,-82.4331,-12.0,85,100,2.06,CA,1701215382
161,necochea,-38.5473,-58.7368,19.74,68,98,2.33,AR,1701215382
162,belokurikha,51.9959,84.9896,-1.09,53,7,1.62,RU,1701215382
163,melfort,52.8667,-104.6177,1.07,69,4,3.6,CA,1701215382
164,manado,1.487,124.8455,27.43,89,20,0.51,ID,1701215383
165,afaahiti,-17.75,-149.2833,27.93,82,100,9.56,PF,1701215383
166,sovetskaya gavan',48.9723,140.2878,-12.16,67,100,7.29,RU,1701215383
167,arno,60.1167,18.6333,0.44,90,100,6.82,SE,1701215383
168,kapa'a,22.0752,-159.319,26.72,81,75,4.12,US,1701215384
169,kearney,40.6995,-99.0815,6.95,53,0,4.12,US,1701215100
170,shalkar,47.8288,59.6258,0.61,73,99,8.55,KZ,1701215384
171,kuanda,56.3161,116.0806,-21.15,92,100,1.32,RU,1701215384
172,turpan,42.9333,89.1667,4.55,40,100,0.95,CN,1701215384
173,freetown,8.484,-13.2299,26.84,89,75,3.09,SL,1701215368
174,glace bay,46.1969,-59.957,2.25,85,75,6.17,CA,1701215385
175,kavaratti,10.5669,72.642,28.4,73,93,3.5,IN,1701215385
176,kerikeri,-35.2268,173.9474,22.73,77,65,0.89,NZ,1701215385
177,east london,-33.0153,27.9116,19.23,73,100,9.92,ZA,1701215108
178,sinabang,2.4803,96.3801,26.24,85,100,2.99,ID,1701215385
179,bam,29.106,58.357,16.02,47,2,2.11,IR,1701215386
180,katsuren-haebaru,26.3369,127.8719,21.01,72,20,1.54,JP,1701215386
181,cidade velha,14.9167,-23.6167,23.26,73,20,3.6,CV,1701215386
182,jamestown,42.097,-79.2353,-2.23,94,100,4.63,US,1701215295
183,ketchikan,55.3422,-131.6461,6.99,81,0,0.0,US,1701215172
184,makar'yev,57.8797,43.8069,-7.63,97,83,1.43,RU,1701215387
185,irymple,-34.25,142.1667,20.61,79,93,8.9,AU,1701215387
186,rongelap,11.1635,166.8941,27.41,78,91,10.52,MH,1701215387
187,'ain deheb,34.8422,1.547,11.0,58,100,4.17,DZ,1701215387
188,martapura,-3.4167,114.85,24.05,94,75,2.06,ID,1701215387
189,nkhata bay,-11.6066,34.2907,25.41,68,73,1.35,MW,1701215388
190,tadine,-21.55,167.8833,25.22,70,100,4.5,NC,1701215388
191,smithers,54.7804,-127.1743,2.18,87,75,2.06,CA,1701215388
192,gilgit,35.9221,74.3087,7.28,60,80,1.26,PK,1701215388
193,cidreira,-30.1811,-50.2056,19.64,95,100,9.53,BR,1701215388
194,sirur,18.8333,74.3833,21.33,82,5,0.72,IN,1701215389
195,chernyshevskiy,63.0128,112.4714,-26.94,93,70,1.64,RU,1701215389
196,preobrazheniye,42.9019,133.9064,-9.9,59,6,3.91,RU,1701215389
197,pecos,31.4229,-103.4932,14.46,41,0,0.0,US,1701215100
198,kletnya,53.3897,33.2171,-7.51,92,100,4.05,RU,1701215389
199,shingu,33.7333,135.9833,11.79,60,15,2.47,JP,1701215389
200,enewetak,11.3474,162.3373,27.78,73,58,9.7,MH,1701215390
